test_family,variant,metric,result,interpretation
Near-miss threshold,Near-miss <= 30 MtCO2e,default-offset mini-scenarios classed as near-miss,1/12 scenarios; median net residual 173.9 MtCO2e,"Boundary cases move as threshold changes, but only the strongest aligned-transition cases become near-miss under stricter thresholds; weak-delivery quadrants remain outside near-miss range."
Near-miss threshold,Near-miss <= 50 MtCO2e,default-offset mini-scenarios classed as near-miss,1/12 scenarios; median net residual 173.9 MtCO2e,"Boundary cases move as threshold changes, but only the strongest aligned-transition cases become near-miss under stricter thresholds; weak-delivery quadrants remain outside near-miss range."
Near-miss threshold,Near-miss <= 70 MtCO2e,default-offset mini-scenarios classed as near-miss,2/12 scenarios; median net residual 173.9 MtCO2e,"Boundary cases move as threshold changes, but only the strongest aligned-transition cases become near-miss under stricter thresholds; weak-delivery quadrants remain outside near-miss range."
Near-miss threshold,Near-miss <= 100 MtCO2e,default-offset mini-scenarios classed as near-miss,3/12 scenarios; median net residual 173.9 MtCO2e,"Boundary cases move as threshold changes, but only the strongest aligned-transition cases become near-miss under stricter thresholds; weak-delivery quadrants remain outside near-miss range."
Offset sensitivity,0 MtCO2e offset/removal credit,net residual and <=70 MtCO2e near-miss count,median net residual 203.9 MtCO2e; 0/12 near-miss; median indicative delay 25.2 years,"Offsets reduce residual gaps mechanically, but they mainly move aligned-transition boundary cases; delayed/weak-delivery outcomes still need mitigation rather than post-processing."
Offset sensitivity,10 MtCO2e offset/removal credit,net residual and <=70 MtCO2e near-miss count,median net residual 193.9 MtCO2e; 1/12 near-miss; median indicative delay 24.0 years,"Offsets reduce residual gaps mechanically, but they mainly move aligned-transition boundary cases; delayed/weak-delivery outcomes still need mitigation rather than post-processing."
Offset sensitivity,30 MtCO2e offset/removal credit,net residual and <=70 MtCO2e near-miss count,median net residual 173.9 MtCO2e; 1/12 near-miss; median indicative delay 21.5 years,"Offsets reduce residual gaps mechanically, but they mainly move aligned-transition boundary cases; delayed/weak-delivery outcomes still need mitigation rather than post-processing."
Offset sensitivity,50 MtCO2e offset/removal credit,net residual and <=70 MtCO2e near-miss count,median net residual 153.9 MtCO2e; 2/12 near-miss; median indicative delay 19.1 years,"Offsets reduce residual gaps mechanically, but they mainly move aligned-transition boundary cases; delayed/weak-delivery outcomes still need mitigation rather than post-processing."
2x2 scenario contrast,Domestic delivery shift under supportive external conditions (U1 -> U3),change in median default-offset net residual,+157.1 MtCO2e median net residual,"Within the bounded matrix, weaker UK delivery has a larger effect than the supportive-to-constrained external shift. This is a scenario result, not a universal causal estimate."
2x2 scenario contrast,External-conditions shift under high domestic delivery (U1 -> U2),change in median default-offset net residual,+85.5 MtCO2e median net residual,"External constraints worsen results, but they do not overturn the importance of domestic implementation in the mini-scenario population."
2x2 scenario contrast,External-conditions shift under low domestic delivery (U3 -> U4),change in median default-offset net residual,+100.7 MtCO2e median net residual,"Poor external conditions make weak-delivery cases worse, but the large residual problem is already present when domestic delivery is weak."
Sector-linkage scoring,Binary weighting instead of 0-1-2 intensity scores,top three linkage-weighted residual sectors,"Base top three: Buildings and product uses, Industry, Domestic Transport. Binary top three: Buildings and product uses, Industry, Domestic Transport.","The same high-priority residual block remains visible; the exact ordering can change, but buildings, domestic transport and industry remain central."
Sector-linkage scoring,Drop-one-driver checks across seven linkage drivers,stability of top-three linkage-weighted residual set,Base top-three set retained in 7/7 drop-one-driver variants.,"The linkage result is not fully invariant, but the main interpretive distinction remains: linked electrification sectors and harder residual sectors dominate the risk portfolio."
