thesis_item,thesis_output_or_caption,code_in_package,figure_file_in_package,table_or_data_file_in_package,status_against_supplied_local_folder,notes
Figure 4.1,DESNZ current-policy baseline compared with CCC pathways,p4_p5_rebuild/notebooks/P5_benchmark_comparison_from_cleaned_CCC_local_reproducible.ipynb; p4_p5_rebuild/notebooks/P4_P5_local_reproducible.ipynb,p4_p5_local_reproduction/figures/docx_safe_images/p5_cleaned_desnz_vs_ccc_annual_pathways_docx_safe.jpg,p4_p5_local_reproduction/data_processed/p5_cleaned_desnz_ccc_annual_comparison.csv,P5_benchmark_comparison_from_cleaned_CCC_local_reproducible.ipynb: FOUND | P4_P5_local_reproducible.ipynb: FOUND,P4-P5 notebook found locally; final figure copied from workspace outputs.
Figure 4.2,Annual DESNZ including-IAS gap relative to CCC7,p4_p5_rebuild/notebooks/P5_benchmark_comparison_from_cleaned_CCC_local_reproducible.ipynb,p4_p5_local_reproduction/figures/docx_safe_images/p5_cleaned_annual_gap_vs_ccc7_docx_safe.jpg,p4_p5_local_reproduction/tables/p5_cleaned_benchmark_year_gap_metrics.csv,P5_benchmark_comparison_from_cleaned_CCC_local_reproducible.ipynb: FOUND,P4-P5 notebook found locally; final figure copied from workspace outputs.
Figure 4.3,Reduction-rate diagnostics,p4_p5_rebuild/notebooks/P4_P5_local_reproducible_with_historical_check.ipynb; p8_uncertainty_framework/notebooks/P8_1_historical_delivered_rate_benchmark_local_reproducible.ipynb,p4_p5_local_reproduction/figures/docx_safe_images/p4_p5_deepened_reduction_rate_diagnostics_docx_safe.jpg,p4_p5_local_reproduction/tables/p4_p5_deepened_trajectory_reduction_rates.csv; p8_uncertainty_framework/tables/p8_1_future_pathway_rate_comparison.csv,P4_P5_local_reproducible_with_historical_check.ipynb: FOUND | P8_1_historical_delivered_rate_benchmark_local_reproducible.ipynb: FOUND,Local P4-P5 notebook found; P8 rate benchmark outputs copied from workspace.
Figure 4.4,DESNZ 2050 residual-emissions ranking,p6_sector_analysis/notebooks/P6_sectoral_drivers_local_reproducible.ipynb,p6_sector_analysis/figures/docx_safe_images/p6_desnz_2050_residual_emissions_ranking_docx_safe.jpg,p6_sector_analysis/tables/p6_desnz_2050_residual_emissions_ranking.csv,P6_sectoral_drivers_local_reproducible.ipynb: FOUND,P6 main notebook found locally and copied from workspace final version.
Figure 4.5,Historical-to-projection trajectories for leading residual sectors,p6_sector_analysis/notebooks/P6_supplement_historical_sector_bridge_local_reproducible.ipynb,p6_sector_analysis/figures/docx_safe_images/p6_supplement_historical_projected_top_sectors_docx_safe.jpg,p6_sector_analysis/tables/p6_supplement_historical_projected_sector_selected_years.csv,P6_supplement_historical_sector_bridge_local_reproducible.ipynb: MISSING in supplied local folder,Missing from supplied local folder; copied from workspace.
Figure 4.6,Near-miss timing and residual-emissions framing,p7_neso_uncertainty/build_p7_target_year_external_conditions_addendum.py; p8_uncertainty_framework/notebooks/P8_3_2x2_matrix_near_miss_mini_scenarios_local_reproducible.ipynb,p7_neso_uncertainty/figures/p7_p8_near_miss_timing_focus.jpg,p7_neso_uncertainty/tables/p7_target_achievement_year_estimates.csv; p7_neso_uncertainty/tables/p7_p8_neil_near_miss_timing_summary.csv; p8_uncertainty_framework/tables/p8_3_near_miss_summary.csv,build_p7_target_year_external_conditions_addendum.py: MISSING in supplied local folder | P8_3_2x2_matrix_near_miss_mini_scenarios_local_reproducible.ipynb: FOUND,Final timing figure not present in supplied local folder; copied from workspace.
Figure 4.7,NESO clean-technology cost assumptions,p7_neso_uncertainty/notebooks/P7_rigour_enhanced_external_conditions_local_reproducible.ipynb; p7_neso_uncertainty/build_p7_rigour_enhanced_analysis.py,p7_neso_uncertainty/figures/p7_lcoe_learning_2025_2035.jpg,p7_neso_uncertainty/tables/p7_lcoe_renewable_learning_2025_2035.csv,P7_rigour_enhanced_external_conditions_local_reproducible.ipynb: FOUND | build_p7_rigour_enhanced_analysis.py: MISSING in supplied local folder,Notebook found locally; final output tables/figures copied from workspace.
Figure 4.8,Fossil-price-shock exposure,p7_neso_uncertainty/notebooks/P7_rigour_enhanced_external_conditions_local_reproducible.ipynb,p7_neso_uncertainty/figures/p7_fossil_price_shock_exposure.jpg,p7_neso_uncertainty/tables/p7_fossil_price_shock_exposure.csv,P7_rigour_enhanced_external_conditions_local_reproducible.ipynb: FOUND,Output copied from workspace.
Figure 4.9,GB gas import exposure by NESO pathway,p7_neso_uncertainty/notebooks/P7_rigour_enhanced_external_conditions_local_reproducible.ipynb,p7_neso_uncertainty/figures/p7_gas_import_exposure.jpg,p7_neso_uncertainty/tables/p7_gas_imports_by_pathway.csv,P7_rigour_enhanced_external_conditions_local_reproducible.ipynb: FOUND,Output copied from workspace.
Figure 4.10,NESO 2050 total energy cost sensitivity ranges,p7_neso_uncertainty/notebooks/P7_rigour_enhanced_external_conditions_local_reproducible.ipynb,p7_neso_uncertainty/figures/p7_2050_cost_sensitivity_range.jpg,p7_neso_uncertainty/tables/p7_total_energy_cost_sensitivity_2050.csv,P7_rigour_enhanced_external_conditions_local_reproducible.ipynb: FOUND,Output copied from workspace.
Figure 4.11,Historical UK territorial GHG emissions compared with DESNZ and CCC,p8_uncertainty_framework/notebooks/P8_1_historical_delivered_rate_benchmark_local_reproducible.ipynb,p8_uncertainty_framework/figures/p8_1_historical_vs_future_pathways.jpg,p8_uncertainty_framework/tables/p8_1_historical_total_emissions.csv,P8_1_historical_delivered_rate_benchmark_local_reproducible.ipynb: FOUND,Notebook found locally; final outputs copied from workspace.
Figure 4.12,Historical average annual reductions compared with future pathway rates,p8_uncertainty_framework/notebooks/P8_1_historical_delivered_rate_benchmark_local_reproducible.ipynb,p8_uncertainty_framework/figures/p8_1_rate_benchmark_comparison.jpg,p8_uncertainty_framework/tables/p8_1_historical_rate_windows.csv; p8_uncertainty_framework/tables/p8_1_future_pathway_rate_comparison.csv,P8_1_historical_delivered_rate_benchmark_local_reproducible.ipynb: FOUND,Notebook found locally; final outputs copied from workspace.
Figure 4.13,Sectoral 2050 uncertainty band,p8_uncertainty_framework/notebooks/P8_2_sectoral_uncertainty_and_linkages_local_reproducible.ipynb,p8_uncertainty_framework/figures/p8_2_sector_uncertainty_band_2050.jpg,p8_uncertainty_framework/tables/p8_2_sector_uncertainty_band_2050.csv,P8_2_sectoral_uncertainty_and_linkages_local_reproducible.ipynb: FOUND,Notebook found locally; final outputs copied from workspace.
Figure 4.14,Sector linkage driver matrix,p8_uncertainty_framework/notebooks/P8_2_sectoral_uncertainty_and_linkages_local_reproducible.ipynb,p8_uncertainty_framework/figures/p8_2_sector_linkage_driver_matrix.jpg,p8_uncertainty_framework/tables/p8_2_sector_linkage_driver_matrix.csv,P8_2_sectoral_uncertainty_and_linkages_local_reproducible.ipynb: FOUND,Notebook found locally; final outputs copied from workspace.
Figure 4.15,Linkage score compared with residual emissions,p8_uncertainty_framework/notebooks/P8_4_sector_linkage_deepening_local_reproducible.ipynb; document_build_audit_scripts/final_anonymous_submission_cleanup.py,p8_uncertainty_framework/figures/submission_cleaned/figure_4_15_linkage_score_vs_residual_submission_cleaned.jpg,p8_uncertainty_framework/tables/p8_4_sector_linkage_deepening_metrics.csv,P8_4_sector_linkage_deepening_local_reproducible.ipynb: FOUND | final_anonymous_submission_cleanup.py: MISSING in supplied local folder,Notebook found locally; final cleaned figure copied from workspace.
Figure 4.16,Dependency-profile similarity between residual sectors,p8_uncertainty_framework/notebooks/P8_4_sector_linkage_deepening_local_reproducible.ipynb; document_build_audit_scripts/final_anonymous_submission_cleanup.py,p8_uncertainty_framework/figures/submission_cleaned/figure_4_16_dependency_similarity_submission_cleaned.jpg,p8_uncertainty_framework/tables/p8_4_sector_dependency_similarity_matrix.csv; p8_uncertainty_framework/tables/p8_4_high_similarity_sector_pairs.csv,P8_4_sector_linkage_deepening_local_reproducible.ipynb: FOUND | final_anonymous_submission_cleanup.py: MISSING in supplied local folder,Notebook found locally; final cleaned figure copied from workspace.
Figure 4.17,Linkage-weighted residual-risk ranking,p8_uncertainty_framework/notebooks/P8_4_sector_linkage_deepening_local_reproducible.ipynb; document_build_audit_scripts/final_anonymous_submission_cleanup.py,p8_uncertainty_framework/figures/submission_cleaned/figure_4_17_linkage_weighted_ranking_submission_cleaned.jpg,p8_uncertainty_framework/tables/p8_4_sector_linkage_deepening_metrics.csv,P8_4_sector_linkage_deepening_local_reproducible.ipynb: FOUND | final_anonymous_submission_cleanup.py: MISSING in supplied local folder,Notebook found locally; final cleaned figure copied from workspace.
Figure 4.18,2x2 scenario matrix,p8_uncertainty_framework/notebooks/P8_3_2x2_matrix_near_miss_mini_scenarios_local_reproducible.ipynb,p8_uncertainty_framework/figures/p8_3_quadrant_outcomes.jpg,p8_uncertainty_framework/tables/p8_3_2x2_scenario_matrix.csv; p8_uncertainty_framework/tables/p8_3_near_miss_summary.csv,P8_3_2x2_matrix_near_miss_mini_scenarios_local_reproducible.ipynb: FOUND,Notebook found locally; final outputs copied from workspace.
Figure 4.19,Mini-scenario residual gaps,p8_uncertainty_framework/notebooks/P8_3_2x2_matrix_near_miss_mini_scenarios_local_reproducible.ipynb,p8_uncertainty_framework/figures/p8_3_mini_scenario_residual_gaps.jpg,p8_uncertainty_framework/tables/p8_3_mini_scenario_population.csv,P8_3_2x2_matrix_near_miss_mini_scenarios_local_reproducible.ipynb: FOUND,Notebook found locally; final outputs copied from workspace.
Figure 4.20,Offset/removal sensitivity,p8_uncertainty_framework/notebooks/P8_3_2x2_matrix_near_miss_mini_scenarios_local_reproducible.ipynb,p8_uncertainty_framework/figures/p8_3_negative_emissions_credit_sensitivity.jpg,p8_uncertainty_framework/tables/p8_3_negative_emissions_credit_stress_test.csv,P8_3_2x2_matrix_near_miss_mini_scenarios_local_reproducible.ipynb: FOUND,Notebook found locally; final outputs copied from workspace.
Table 4.1,Main results and RQ mapping,synthesis from P4-P8 notebooks,,p4_p5_local_reproduction/tables/p4_final_metrics_table.csv; p4_p5_local_reproduction/tables/p5_final_benchmark_metrics_table.csv; p7_neso_uncertainty/tables/p7_rigour_enhanced_external_metrics.csv; p8_uncertainty_framework/tables/p8_3_near_miss_summary.csv; p8_uncertainty_framework/tables/p8_4_sector_linkage_deepening_metrics.csv,synthesis from P4-P8 notebooks: MISSING in supplied local folder,Synthesis table in thesis; underlying outputs copied.
Table 4.2,Sector linkage-weighted residual priorities,p8_uncertainty_framework/notebooks/P8_4_sector_linkage_deepening_local_reproducible.ipynb,,p8_uncertainty_framework/tables/p8_4_sector_linkage_deepening_metrics.csv,P8_4_sector_linkage_deepening_local_reproducible.ipynb: FOUND,Directly code-backed.
Appendix C tables,Data tables C.1-C.16,P4-P8 notebooks,,p4_p5_local_reproduction/tables; p6_sector_analysis/tables; p7_neso_uncertainty/tables; p8_uncertainty_framework/tables,P4-P8 notebooks: MISSING in supplied local folder,All copied into the package under original relative paths.
