"claim_id","claim_for_literature_review","main_source_type","recommended_citation","local_source_file","how_to_use","caution"
"LR01","The dissertation should distinguish UK net-zero ambition from actual delivery credibility.","Academic literature","Rogelj et al. (2023)","Reference/Credibility gap in net-zero climate targets leaves world at high risk.pdf","Use to frame the research problem as a credibility/delivery-gap question.","Global framing; connect back to UK using CCC and DESNZ sources."
"LR02","Current-policy projections are needed because stated targets do not show whether existing policies are sufficient.","Official dataset/report","DESNZ (2026)","Data_raw/DESNZ Energy and Emissions Projections 2024-2050 annexes/energy-emissions-projections-report-2024-2050.pdf","Use to justify the DESNZ baseline as the current-policy reference scenario.","Do not treat the projection as a prediction; it is a reference scenario."
"LR03","Official historical emissions data should come from DESNZ final GHG statistics.","Official statistics","DESNZ (2025)","Data_raw/Final UK greenhouse gas emissions statistics 1990-2023 data tables/2023-final-greenhouse-gas-emissions-statistical-release.pdf","Use for historical emissions context and official data credibility.","Be explicit about territorial basis and treatment of IAS."
"LR04","CCC7 is the main target-consistent benchmark for the dissertation.","Official advisory report and dataset","CCC (2025a)","Reference/The-Seventh-Carbon-Budget.pdf; Data_raw/CCC Seventh Carbon Budget Balanced Pathway data/The-Seventh-Carbon-Budget-full-dataset.xlsx","Use to justify P5 benchmark selection.","Do not claim CCC7 is the only possible benchmark."
"LR05","The literature supports pathway comparison rather than only a 2050 endpoint check.","Academic literature","Waisman et al. (2019); Pye et al. (2017)","Reference/A pathway design framework for national low greenhouse gas emission development strategies.pdf; Reference/Achieving net-zero emissions through the.pdf","Use to justify interim years and carbon-budget-period comparison.","Avoid overclaiming that this dissertation builds a new pathway model."
"LR06","Scenario choice influences analytical conclusions and should be transparent.","Academic literature","Trutnevyte et al. (2016)","Reference/Energy scenario choices_Insights from a retrospective review of UK.pdf","Use to justify why CCC7 is chosen and CCC6 is sensitivity only.","Use as scenario-method framing, not as UK emissions data."
"LR07","UK pathway literature shows multiple possible net-zero routes with different assumptions.","Academic literature","Dixon et al. (2022)","Reference/Which way to net zero-a comparative analysis of seven UK 2050.pdf","Use to support the claim that benchmark choice matters.","Do not use as direct numerical source for P4-P5 unless separately extracted."
"LR08","Demand reduction can materially shape UK net-zero pathway feasibility.","Academic literature","Barrett et al. (2022)","Reference/Energy demand reduction options for meeting.pdf","Use to frame demand-side and sectoral-driver interpretation.","For meeting materials, present as foundation rather than completed sectoral analysis."
"LR09","Electricity-sector transition can involve multiple near-optimal pathways and uncertainty.","Academic literature","Li and Trutnevyte (2017)","Reference/Investment appraisal of cost-optimal and near-optimal pathways for the.pdf","Use in uncertainty and sectoral-driver discussion.","Sector-specific; do not generalise directly to whole-economy gap without care."
"LR10","Heat and road transport decarbonisation create integrated system challenges.","Academic literature","Chaudry et al. (2022)","Reference/The implications of ambitious decarbonisation of heat and road transport.pdf","Use as supporting sectoral literature for future interpretation.","Not central to P4-P5 economy-wide benchmark results."
"LR11","Heat decarbonisation modelling using electricity and hydrogen is useful as sectoral background.","Preprint or academic literature","Aunedi et al. (2022)","Reference/Multi-model assessment of heat decarbonisation options in the UK using electricity and hydrogen.pdf","Use as optional sectoral background.","Preprint status in local file; confirm final publication before final submission."
"LR12","Modelled pathways should not be treated as certain forecasts.","Academic literature","Trutnevyte et al. (2016); Li and Trutnevyte (2017); Lo Piano et al. (2021)","Reference/Energy scenario choices_Insights from a retrospective review of UK.pdf; Reference/Investment appraisal of cost-optimal and near-optimal pathways for the.pdf; Reference/Unpacking uncertainty in the modelling process for energy policy making.pdf","Use to justify cautious interpretation and sensitivity checks.","Lo Piano publication details should be confirmed before final dissertation citation."
"LR13","CCC supplementary analysis provides official sensitivity context for CCC7 assumptions.","Official advisory report","CCC (2026)","Reference/Supplementary-analysis-of-the-Seventh-Carbon-Budget.pdf","Use to support discussion of uncertainty around the benchmark.","Do not turn P5 into a cost-benefit analysis unless scope changes."
"LR14","Government delivery plans and current-policy projections should be distinguished.","Official policy report and dataset","HM Government/DESNZ (2023); DESNZ (2026)","Reference/carbon-budget-delivery-plan.pdf; Data_raw/DESNZ Energy and Emissions Projections 2024-2050 annexes/energy-emissions-projections-report-2024-2050.pdf","Use to explain why policy plans are not the same as baseline emissions outcomes.","Keep wording neutral and evidence-based."
"LR15","The research gap is a focused DESNZ current-policy versus CCC target-consistent emissions-gap assessment.","Synthesis from literature and official datasets","Pye et al. (2017); Waisman et al. (2019); DESNZ (2026); CCC (2025a)","Multiple sources listed above","Use as the central dissertation contribution statement.","Do not claim no previous pathway comparison exists."
"LR16","Accounting conventions must be explicit when comparing historical statistics, projections and benchmark pathways.","Official statistics and datasets","DESNZ (2025); DESNZ (2026); CCC (2025a)","DESNZ final GHG statistics; DESNZ EEP annexes; CCC7 dataset","Use to justify the P4 accounting-basis note and Methods wording.","Specify official NCA, excluding-IAS trend and including-IAS benchmark comparison where relevant."
