output,location_in_thesis
P5 annual comparison table,p4_p5_local_reproduction/data_processed/p5_cleaned_desnz_ccc_annual_comparison.csv
P5 benchmark metrics,p4_p5_local_reproduction/tables/p5_cleaned_benchmark_year_gap_metrics.csv
P6 sectoral residual ranking,p6_sector_analysis/tables/p6_desnz_2050_residual_emissions_ranking.csv
P6 historical projection metrics,p6_sector_analysis/tables/p6_supplement_historical_projection_transition_metrics.csv
Target-achievement estimates,p7_neso_uncertainty/tables/p7_target_achievement_year_estimates.csv
External-condition metrics,p7_neso_uncertainty/tables/p7_rigour_enhanced_external_metrics.csv
External-condition reproducible notebook,p7_neso_uncertainty/notebooks/P7_rigour_enhanced_external_conditions_local_reproducible.ipynb
Historical delivered-rate benchmark,p8_uncertainty_framework/tables/p8_1_historical_rate_windows.csv
Future pathway rate comparison,p8_uncertainty_framework/tables/p8_1_future_pathway_rate_comparison.csv
Sectoral rate-anchor metrics,p8_uncertainty_framework/tables/p8_2_sector_rate_anchor_metrics.csv
Sector linkage driver matrix,p8_uncertainty_framework/tables/p8_2_sector_linkage_driver_matrix.csv
2x2 scenario matrix,p8_uncertainty_framework/tables/p8_3_2x2_scenario_matrix.csv
Mini-scenario population,p8_uncertainty_framework/tables/p8_3_mini_scenario_population.csv
Near-miss summary,p8_uncertainty_framework/tables/p8_3_near_miss_summary.csv
Offset stress test,p8_uncertainty_framework/tables/p8_3_negative_emissions_credit_stress_test.csv
Uncertainty-framework reproducible notebooks,p8_uncertainty_framework/notebooks/
Official source audit,Appendix B in this draft
Strengthened LR source set,Reference folder plus verified official/DOI web sources
Official data source folder,Reference/Official_data_sources/
Official data source manifest,Reference/Official_data_sources/official_data_sources_manifest.csv
Official data source Harvard index,Reference/Official_data_sources/Official_Data_Sources_Index_Harvard_TBPS6.docx
Step 2 sensitivity and robustness audit,p8_uncertainty_framework/tables/p8_step2_sensitivity_robustness_audit.csv; p8_uncertainty_framework/tables/p8_step2_linkage_drop_one_driver_check.csv; p8_uncertainty_framework/tables/p8_step2_2x2_quadrant_default_offset_summary.csv
