desnz_tes_sector,ccc7_sector_match,alignment_type,desnz_2050_MtCO2e,ccc7_2050_MtCO2e,recommended_use,notes,gap_DESNZ_minus_CCC_2050_MtCO2e
Agriculture,Agriculture,Direct,38.2,26.4,Can be compared directly at broad sector level.,"Strongest sector-level match, subject to source-category details.",11.800000000000004
Buildings and product uses,Residential buildings + Non-residential buildings + F-gases,Aggregate / partial,84.6,2.7,Use cautiously for broad comparison only; not exact one-to-one attribution.,"DESNZ combines buildings and product uses; CCC separates residential buildings, non-residential buildings, and F-gases.",81.89999999999999
Domestic Transport,Surface transport; aviation/shipping treated separately,Partial,49.9,1.1,Use surface transport as a proxy for road/surface transport; do not treat as total domestic transport.,"CCC separates surface transport, aviation and shipping; DESNZ domestic transport boundary differs.",48.8
Electricity supply,Electricity supply,Direct,41.0,1.0,Can be compared directly at broad sector level.,Strong match; note energy-from-waste classification if later used in sector decomposition.,40.0
Fuel supply,Fuel supply,Direct,13.2,1.6,Can be compared directly at broad sector level.,Broad sector match.,11.6
IAS,Aviation + Shipping,Aggregate / partial,34.0,23.2,Use cautiously for broad IAS-related comparison; verify domestic/international boundary before attribution.,CCC has Aviation and Shipping as separate sectors; DESNZ IAS is an accounting-scope category.,10.8
Industry,Industry,Direct / broad,47.4,3.6,Can be compared at broad level; keep caveat around industrial processes and product-use emissions.,"Mostly usable, but F-gas/product-use boundaries may differ.",43.8
LULUCF,Land use only,Partial / not one-to-one,4.4,-29.9,Do not compare as exact match; use qualitatively unless land-use accounting is verified.,CCC land use is negative in 2050; engineered removals are a separate CCC sector and should not be folded into DESNZ LULUCF.,34.3
Waste,Waste,Direct / broad,11.7,5.1,Can be compared at broad level with caveat around energy-from-waste classification.,Sector classification includes some energy-from-waste allocation complexity.,6.6
(no direct DESNZ TES equivalent),Engineered removals,CCC-only benchmark sector,,-35.8,Report separately; do not allocate to a DESNZ TES sector without an explicit accounting bridge.,This sector is essential to the CCC net-zero benchmark but has no direct DESNZ TES baseline counterpart.,
