mini_scenario_id,quadrant_id,scenario_name,mini_scenario_label,uk_policy_delivery,external_conditions,domestic_delivery_score,external_shift,default_removals_credit_available_MtCO2e,post_2050_reduction_rate_MtCO2e_per_year_for_stress_test,interpretation
U1-1,U1,Aligned transition,credible,High,Supportive,0.75,0.1,50,10.881010487061245,"Strong UK delivery plus supportive technology, fuel and supply-chain conditions. Closest to target-consistent outcomes."
U1-2,U1,Aligned transition,strong,High,Supportive,0.85,0.1,50,10.881010487061245,"Strong UK delivery plus supportive technology, fuel and supply-chain conditions. Closest to target-consistent outcomes."
U1-3,U1,Aligned transition,front-loaded,High,Supportive,0.95,0.1,50,10.881010487061245,"Strong UK delivery plus supportive technology, fuel and supply-chain conditions. Closest to target-consistent outcomes."
U2-1,U2,Domestic delivery under external constraints,credible-but-costly,High,Constrained,0.65,-0.1,30,9.09697189143504,"Domestic policies are credible, but costs, supply chains, fuels or international technology conditions slow some sectors."
U2-2,U2,Domestic delivery under external constraints,strong-but-constrained,High,Constrained,0.75,-0.1,30,9.09697189143504,"Domestic policies are credible, but costs, supply chains, fuels or international technology conditions slow some sectors."
U2-3,U2,Domestic delivery under external constraints,front-loaded-domestic,High,Constrained,0.85,-0.1,30,9.09697189143504,"Domestic policies are credible, but costs, supply chains, fuels or international technology conditions slow some sectors."
U3-1,U3,Weak delivery despite supportive conditions,partial-delivery,Low,Supportive,0.3,0.1,30,7.312933295808833,"Global technology and cost conditions help, but weak UK implementation leaves a large domestic delivery gap."
U3-2,U3,Weak delivery despite supportive conditions,uneven-delivery,Low,Supportive,0.4,0.1,30,7.312933295808833,"Global technology and cost conditions help, but weak UK implementation leaves a large domestic delivery gap."
U3-3,U3,Weak delivery despite supportive conditions,late-catch-up,Low,Supportive,0.5,0.1,30,7.312933295808833,"Global technology and cost conditions help, but weak UK implementation leaves a large domestic delivery gap."
U4-1,U4,Delayed transition risk,delayed,Low,Constrained,0.15,-0.1,10,6.215993301437508,Weak domestic delivery and constrained external conditions. Closest to delayed-transition risk.
U4-2,U4,Delayed transition risk,fragmented,Low,Constrained,0.25,-0.1,10,6.215993301437508,Weak domestic delivery and constrained external conditions. Closest to delayed-transition risk.
U4-3,U4,Delayed transition risk,late-and-costly,Low,Constrained,0.35,-0.1,10,6.215993301437508,Weak domestic delivery and constrained external conditions. Closest to delayed-transition risk.
