"source","outside_reference_status","where","local","use","audit_note"
"DESNZ (2026), Energy and emissions projections: 2024 to 2050","Official source in Data_raw; not in Reference folder","https://www.gov.uk/government/publications/energy-and-emissions-projections-2024-to-2050","Data_raw\DESNZ Energy and Emissions Projections 2024-2050 annexes\energy-emissions-projections-report-2024-2050.pdf and Annex A-M ODS files","Primary DESNZ current-policy baseline for P4-P5.","Verified as a GOV.UK DESNZ publication, published 3 February 2026."
"DESNZ (2025), Final UK greenhouse gas emissions statistics: 1990 to 2023","Official source in Data_raw; not in Reference folder","https://www.gov.uk/government/statistics/final-uk-greenhouse-gas-emissions-statistics-1990-to-2023","Data_raw\Final UK greenhouse gas emissions statistics 1990-2023 data tables\2023-final-greenhouse-gas-emissions-statistical-release.pdf and final-greenhouse-gas-emissions-tables-2023.xlsx","Historical emissions check used in P4.","Verified as DESNZ Accredited Official Statistics. Source-currency flag: GOV.UK also has 1990-2024 final statistics online; decide later whether to update final dissertation historical figures."
"DESNZ (2026), Final UK greenhouse gas emissions statistics: 1990 to 2024","External official update; not currently used in local P4-P5 outputs","https://www.gov.uk/government/statistics/final-uk-greenhouse-gas-emissions-statistics-1990-to-2024","Not currently present in the local P4-P5 processed workflow","Possible final-dissertation update check for historical statistics.","Do not mix into current results unless the notebooks and tables are deliberately updated."
"CCC (2025), The Seventh Carbon Budget dataset","Dataset in Data_raw; report PDF is in Reference","https://www.theccc.org.uk/publication/the-seventh-carbon-budget/","Data_raw\CCC Seventh Carbon Budget Balanced Pathway data\The-Seventh-Carbon-Budget-full-dataset.xlsx","Primary CCC7 target-consistent benchmark for P5.","Verified through CCC publication page; local dataset is the data source used in cleaned CCC workflow."
"CCC (2020/2021), Sixth Carbon Budget dataset","Dataset in Data_raw; used only as sensitivity benchmark","https://www.theccc.org.uk/publication/sixth-carbon-budget/","Data_raw\CCC Sixth Carbon Budget chartsdata and scenario dataset\The-Sixth-Carbon-Budget-Dataset_v2.xlsx","Sensitivity comparison only, not main benchmark.","Verified through CCC Sixth Carbon Budget publication page."
"CCC (2026), Supplementary analysis of the Seventh Carbon Budget","Report is in Reference; online source verified","https://www.theccc.org.uk/publication/supplementary-analysis-of-the-seventh-carbon-budget/","Reference\Supplementary-analysis-of-the-Seventh-Carbon-Budget.pdf","Official sensitivity and cost-context source for CCC7.","Use as benchmark-context evidence, not as a reason to add cost-benefit analysis to P5."
"CCC (2025), Progress in reducing emissions: 2025 report to Parliament","Report is in Reference; online source verified","https://www.theccc.org.uk/publication/progress-in-reducing-emissions-2025-report-to-parliament/","Reference\Progress-in-reducing-emissions-2025-report-to-Parliament.pdf","Policy delivery/progress context.","Use for framing delivery risk; do not substitute for dissertation's own DESNZ-CCC calculations."
"HM Government / DESNZ (2023), Carbon Budget Delivery Plan","Report is in Reference; GOV.UK source verified","https://www.gov.uk/government/publications/carbon-budget-delivery-plan","Reference\carbon-budget-delivery-plan.pdf","Policy-plan context and distinction between delivery plans and projections.","A later Carbon Budget and Growth Delivery Plan exists online; do not swap sources without changing the analysis scope."
"HM Government (2021), Net Zero Strategy: Build Back Greener","Report is in Reference; GOV.UK source verified","https://www.gov.uk/government/publications/net-zero-strategy","Reference\Net Zero Strategy_Build Back Greener.pdf","UK net-zero policy background.","Background source only; not the latest current-policy projection source."
"Lo Piano et al. (2024), Unpacking the modeling process for energy policy making","Publication metadata verified outside Reference","https://onlinelibrary.wiley.com/doi/full/10.1111/risa.14248","Reference\Unpacking uncertainty in the modelling process for energy policy making.pdf","Uncertainty/modelling-caution source if retained.","Local PDF appears to be the 2021 arXiv/preprint version with a slightly different title. Final citation should use Risk Analysis 44(6), 1273-1284, DOI 10.1111/risa.14248 after manual confirmation."
"Aunedi et al. (2022), Multi-model assessment of heat decarbonisation options in the UK using electricity and hydrogen","Publication metadata verified outside Reference","https://www.sciencedirect.com/science/article/pii/S0960148122008023","Reference\Multi-model assessment of heat decarbonisation options in the UK using electricity and hydrogen.pdf","Optional sectoral heat-decarbonisation background.","Local PDF text says preprint submitted to Renewable Energy. Final citation should be Renewable Energy 194, 1261-1276, DOI 10.1016/j.renene.2022.05.145."
"Chaudry et al. (2022), heat and road transport decarbonisation paper","Report/article PDF is in Reference; DOI verified externally","https://www.sciencedirect.com/science/article/pii/S0306261921012186","Reference\The implications of ambitious decarbonisation of heat and road transport.pdf","Optional sectoral support source.","Final citation details are Applied Energy 305, 117905, DOI 10.1016/j.apenergy.2021.117905."
