source_family,source,pathway_or_scenario,residual_2050_MtCO2e,delay_years_after_2050,neil_focused_category,main_text_treatment,method_note
P7 official / published pathway,DESNZ EEP 2024,DESNZ current-policy baseline including IAS,324.3,148.5,Far-delayed / not plotted to scale,Do not present as a target-year forecast; retain only as far-delayed stress-test warning.,"No finite crossing under the 2040-2050 trend; the 2030-2050 extrapolation is a mechanical stress-test, not a forecast."
P7 official / published pathway,DESNZ EEP 2024,DESNZ current-policy baseline excluding IAS,290.2,154.9,Far-delayed / not plotted to scale,Do not present as a target-year forecast; retain only as far-delayed stress-test warning.,"No finite crossing under the 2040-2050 trend; the 2030-2050 extrapolation is a mechanical stress-test, not a forecast."
P7 official / published pathway,CCC Seventh Carbon Budget,CCC7 Balanced Pathway,0.0,0.0,On time or crosses by 2050,Use as on-time benchmark/pathway context.,On time; interpolated crossing is within the legal target year.
P7 official / published pathway,CCC Sixth Carbon Budget,CCC6 Balanced Net Zero Pathway,0.0,0.0,On time or crosses by 2050,Use as on-time benchmark/pathway context.,On time; interpolated crossing is within the legal target year.
P7 official / published pathway,NESO FES 2025,Electric Engagement,0.0,0.0,On time or crosses by 2050,Use as on-time benchmark/pathway context.,On time; interpolated crossing is within the legal target year.
P7 official / published pathway,NESO FES 2025,Falling Behind,187.0,25.6,Longer but interpretable delay: 20-30 years late,Keep as delayed-transition comparator: about 25.6 years late under late-period slope.,Missed-pathway estimate based on extending the 2040-2050 average annual reduction rate.
P7 official / published pathway,NESO FES 2025,Holistic Transition,0.0,0.0,On time or crosses by 2050,Use as on-time benchmark/pathway context.,On time; interpolated crossing is within the legal target year.
P7 official / published pathway,NESO FES 2025,Hydrogen Evolution,0.0,0.0,On time or crosses by 2050,Use as on-time benchmark/pathway context.,On time; interpolated crossing is within the legal target year.
P8 stylised mini-scenario,U1 Aligned transition,U1-1 credible,83.1,7.6,Near miss in time: 5-10 years late,Use for near-miss timing/emissions interpretation; do not treat as forecast probability.,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
P8 stylised mini-scenario,U1 Aligned transition,U1-2 strong,52.6,4.8,Near miss: <=5 years and <=70 MtCO2e,Use for near-miss timing/emissions interpretation; do not treat as forecast probability.,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
P8 stylised mini-scenario,U1 Aligned transition,U1-3 front-loaded,25.2,2.3,Near miss: <=5 years and <=70 MtCO2e,Use for near-miss timing/emissions interpretation; do not treat as forecast probability.,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
P8 stylised mini-scenario,U2 Domestic delivery under external constraints,U2-1 credible-but-costly,168.6,18.5,Moderate delay: 10-20 years late,Use for near-miss timing/emissions interpretation; do not treat as forecast probability.,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
P8 stylised mini-scenario,U2 Domestic delivery under external constraints,U2-2 strong-but-constrained,138.1,15.2,Moderate delay: 10-20 years late,Use for near-miss timing/emissions interpretation; do not treat as forecast probability.,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
P8 stylised mini-scenario,U2 Domestic delivery under external constraints,U2-3 front-loaded-domestic,107.7,11.8,Moderate delay: 10-20 years late,Use for near-miss timing/emissions interpretation; do not treat as forecast probability.,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
P8 stylised mini-scenario,U3 Weak delivery despite supportive conditions,U3-1 partial-delivery,240.1,32.8,Large delayed transition: >30 years late,Use for near-miss timing/emissions interpretation; do not treat as forecast probability.,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
P8 stylised mini-scenario,U3 Weak delivery despite supportive conditions,U3-2 uneven-delivery,209.7,28.7,Longer but interpretable delay: 20-30 years late,Use for near-miss timing/emissions interpretation; do not treat as forecast probability.,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
P8 stylised mini-scenario,U3 Weak delivery despite supportive conditions,U3-3 late-catch-up,179.2,24.5,Longer but interpretable delay: 20-30 years late,Use for near-miss timing/emissions interpretation; do not treat as forecast probability.,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
P8 stylised mini-scenario,U4 Delayed transition risk,U4-1 delayed,340.9,54.8,Large delayed transition: >30 years late,Use for near-miss timing/emissions interpretation; do not treat as forecast probability.,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
P8 stylised mini-scenario,U4 Delayed transition risk,U4-2 fragmented,310.4,49.9,Large delayed transition: >30 years late,Use for near-miss timing/emissions interpretation; do not treat as forecast probability.,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
P8 stylised mini-scenario,U4 Delayed transition risk,U4-3 late-and-costly,279.9,45.0,Large delayed transition: >30 years late,Use for near-miss timing/emissions interpretation; do not treat as forecast probability.,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
