group,citation_short,file,pages,main_role,key_message_cn,use_in_dissertation,use_in_meeting,priority,caveat
Neil??????,Barrett et al. (2022),Energy demand reduction options for meeting.pdf,10,????????????,??????????????/?????????????????????????????????????????,Literature Review: pathway feasibility; sectoral drivers; uncertainty around demand assumptions. Discussion: why DESNZ baseline may remain high if demand-side change is weak.,????P3??????/??????????????????????????????,Very high,??????????????????????????????
Neil??????,Pye et al. (2017),Achieving net-zero emissions through the.pdf,8,???????2050???,????2030?2050?????????????????????????????????,Literature Review: UK net-zero pathway framing. Methods/Results rationale: justifies quantifying residual 2050 gap rather than assuming target compliance.,???????P4-P5??DESNZ current-policy baseline?target-consistent benchmark???,Very high,??????????????????DESNZ/CCC?????
Neil??????,Rogelj et al. (2023),Credibility gap in net-zero climate targets leaves world at high risk.pdf,4,????????????,??????????????????????????????????credibility/delivery gap???????,"Literature Review and Discussion: credibility gap, policy implementation risk, why current-policy projections matter.",??????Neil???????????????????????????????????,Very high,????????????????DESNZ/CCC?????
Neil??????,Waisman et al. (2019),A pathway design framework for national low greenhouse gas emission development strategies.pdf,8,??????????????,???????????????????????????????????????????,Methods framing: supports using pathway comparison and interim benchmarks rather than only a final-year net-zero check.,"????P5??CCC pathways as interim benchmarks, not only 2050 comparison?????",Very high,?????????????????CCC/DESNZ?
?????????,Climate Change Committee (2025),The-Seventh-Carbon-Budget.pdf,394,CCC7 target-consistent benchmark,??????????Balanced Pathway????????????P5 benchmark??????????,Data and Methods; Results benchmark explanation; policy context.,??P5?????????????CCC7 Balanced Pathway???benchmark?,Very high,?????????????????????target-consistent pathway???
?????????,Climate Change Committee (2026),Supplementary-analysis-of-the-Seventh-Carbon-Budget.pdf,69,CCC7??/???/????,??CCC7??????????????????benchmark??????????,Methods caveat; Discussion on sensitivity and robustness.,???P5???????CCC7???????????????????,High,??P5????emissions benchmark?????????????
?????????,Climate Change Committee (2025),Progress-in-reducing-emissions-2025-report-to-Parliament.pdf,134,?????????????,?????????????????????Discussion??delivery risk????,Discussion and policy context; validation of current-policy gap interpretation.,??Neil????????????????CCC?????????????,High,??????????DESNZ-CCC?????
?????????,HM Government (2021),Net Zero Strategy_Build Back Greener.pdf,368,????????,??????????????????????????DESNZ baseline??????,Background and policy context.,???????????P3-P5??????,Medium,??????????????????????benchmark?
?????????,HM Government / DESNZ (2023),carbon-budget-delivery-plan.pdf,192,???????????,???????????????????????DESNZ baseline?CB6 gap?,Methods/accounting context; Discussion of policy delivery assumptions.,??P4?CB6 gap?????????????????????????,High,?????????????????????projection dataset?
??????,Dixon et al. (2022),Which way to net zero-a comparative analysis of seven UK 2050.pdf,18,???????,??????2050????????????????????????????????????,Literature Review: justifies comparing pathways and recognising benchmark choice matters.,????P3?????P5??CCC benchmark???????????????,High,???????????????P5?????
??????,Trutnevyte et al.,Energy scenario choices_Insights from a retrospective review of UK.pdf,12,???????????,?????????????????????????????????????????,Methods: justification for transparent benchmark selection and not overloading scenarios.,??????????P5???CCC7?benchmark????????????,High,????????????????
??????,Lo Piano et al.,Unpacking uncertainty in the modelling process for energy policy making.pdf,39,????????????????,??????????????????????????????????????????????????,"Literature Review and Methods: uncertainty framework, sensitivity interpretation.",??P3?????????uncertainty discussion??????,Medium-high,???????????????????
??????,Li and Trutnevyte (2017),Investment appraisal of cost-optimal and near-optimal pathways for the.pdf,21,?????????????,?????????2050??????????????????????????????,"Literature Review: sectoral transition and uncertainty evidence, especially power sector.",????????????????????P4-P5???,Medium,???????????????????-wide DESNZ-CCC gap?
??????,Aunedi et al. (2022),Multi-model assessment of heat decarbonisation options in the UK using electricity and hydrogen.pdf,51,??????/?????????,??????????????????????????????/?????????,Literature Review or later sectoral discussion.,??????????????sectoral drivers???,Medium,??P4-P5????-wide benchmark????????
??????,Applied Energy heat and transport paper (2022),The implications of ambitious decarbonisation of heat and road transport.pdf,23,???????????????,????????????????????????????????????sectoral drivers???,Literature Review: heat/transport sectoral transition and system implications.,??????????P3-P5????????,Medium,?????????????
